"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"lndp[1,8,1]",1.15023732285365,0.0668320697868481,1.00933136804531,1.15367389486343,1.27266315722356,1,4596
"lndp[1,8,2]",0.571782120086323,0.0837332376709737,0.401133654464878,0.57419821823614,0.732732254697603,1,3834
"lndp[1,9,1]",1.17739125915118,0.0785661865248365,1.01451180046556,1.1807362889621,1.31973872780944,1,2283
"lndp[1,9,2]",0.548615307363991,0.127257665343244,0.295244970733113,0.553148283274268,0.794928030584783,1,4122
"lndp[1,10,1]",1.55587325012683,0.0535267078953783,1.44192334096727,1.56017277889603,1.65427253913589,1,5251
"lndp[1,10,2]",0.72345036129308,0.072734599782325,0.573344292487264,0.726026203182086,0.863108154017128,1,5499
"lndp[1,11,1]",1.3203442592508,0.0813481955830715,1.15807393721263,1.32161261791328,1.47175262780065,1,3397
"lndp[1,11,2]",0.345907621696492,0.0884706850161699,0.179341724500495,0.344687578961728,0.520388670078519,1,1680
"lndp[2,1,1]",2.51655971998567,0.076620317879726,2.35368899111157,2.51992124763847,2.65362848347619,1,3450
"lndp[2,1,2]",0.63145353697354,0.121894325545146,0.385734605807453,0.633953527018962,0.875926055265425,1,1995
"lndp[2,2,1]",2.09641040452178,0.0632222321028083,1.96279503515466,2.09739809915172,2.21684770852086,1,2031
"lndp[2,2,2]",0.820601195138325,0.100706036519239,0.620040873039752,0.817312270948349,1.0243998184657,1,2020
"lndp[2,3,1]",2.20932545985621,0.0707050729028597,2.06778707127046,2.21279154007246,2.33630855847702,1.01,587
"lndp[2,3,2]",0.608147651235209,0.0981394482904242,0.391829949199174,0.610581092011715,0.795151035534723,1.01,379
"lndp[2,4,1]",2.46897295447391,0.0579102699718076,2.34829383063919,2.47258025480011,2.57467106312572,1,3022
